とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「羽つきの婆さん、今頃はもう治癒院か」,「羽化病的那个老婆婆，现在已经在治愈院了吧」,
「だが、立派で清潔感のある建物だ」,「但是，那个建筑物从外观上看来清洁而宽敞」,
「先ほどの老婆も、安らかに過ごせると思う」,「我想，刚才那个老婆婆也能在那里平安地生活」,
「羽狩りが反感を買ってるのも、強制的にやってるせいだろう？」,「普通民众对羽狩的反感，也是建立在你们强制执行的基础上的吧？」,
「もっともな話だ」,「理所当然的论调啊」,
酒を勧めても、また任務中だと断るのだろう。,就算劝她喝酒，她也会以仍然在执行任务这个理由来拒绝吧。,
ティアと暮らして何日も経つ。,我和缇娅也一起生活了很长时间。,
絞り出すように言う。,菲奥奈从牙缝中挤出这句话。,
気がつかなかったが、それなりの礼儀作法は身につけているようだ。,虽然自己或许没有注意到，但端正的礼仪已经镌刻在了她的每一个动作之中。,
「明日からは、服装を考えてほしいな」,「从明天开始，我希望你能考虑下服装的问题」,
沈鬱な顔をする。,她露出失落的表情。,
今日の婆さんの件で、フィオネが制服にこだわる理由も多少は理解できた。,藉由今天那个婆婆的事件，我多少也开始能理解菲奥奈如此拘泥于制服的原因。,
だが、仕事に悪影響があるのは変わりない。,但是，会给工作带来坏影响这点不会因此而产生任何变化。,
「これで半額なはずだ」,「这应该就是一半的数额吧」,
「細かい奴だな」,「真是个斤斤计较的家伙」,
銀貨２枚を返す。,我将两枚银币递了回去。,
「賄賂に見えるぞ」,「会被人当成是贿赂的」,
「それもいい女の作法だ」,「这也是一个好女人的做法」,
少し考える。,她稍微思考了一下。,
「いや……やはり断る」,「不……果然还是要拒绝」,
「では、明日もまた同じ時間に」,「那么，明天还是在同样的时间集合」,
「多分」,「大概是」,
「場所は」,「在哪里？」,
「すぐ行く」,「我马上就去」,
「どんな奴だ」,「是什么样的家伙」,
「黒！？」,「黑色！？」,
「ティアを頼む」,「缇娅就拜托你了」,
路地の奥に走る。,我向小巷的深处跑去。,
先に進むが、人影は見えない。,前进了很久，却连个人影都没看到。,
すぐ一本向こうの道だ。,是从距离这里很近一条路上传来的。,
駆け出す。,我们冲了出去。,
腕、脚、頭、胴……,胳膊，脚，头，身体……,
腰を抜かした女が一人。,那里有一名吓瘫了的女人。,
「羽つきか」,「是羽化病人吗」,
「オズは、周囲の聞き込みを頼む」,「奥兹，向周围人打听情报就交给你了」,
その風に乗って、視界の隅を何かが横切り路地に落ちた。,随着风的流动，在视线的一角处，某个东西飘落在小巷之中。,
拾う。,我将其捡起。,
黒い羽根だ。,是黑色的羽毛。,
「何が羽つきの保護だよ、殺されてりゃ世話ねえ！」,「什么叫保护羽化病人啊，明明是把他们杀了还在那里大言不惭！」,
「調査の邪魔だ、下がってろ！」,「你妨碍到我们的调查了，退下！」,
「へへっ、早く捕まえねえからこうなるんだよ」,「嘿嘿，因为你们没能赶快抓到她，她才会变成这样的」,
「誠に申し訳ない」,「我诚挚地向诸位道歉」,
フィオネの声は、場違いなほどに清冽だった。,菲奥奈的声音，有着与这个地方完全不同的清澈感。,
「お前ら、もう少し下がれ」,「你们这些家伙，再在这里待一会啊」,
「いえ、隊長の呼集とあればいつでも馳せ参じますよ」,「不，只要是队长的召唤，我们无论何时都会飞奔而至的」,
ふわりと漂う香水の匂い。,身旁微微漂浮着香水的气味。,
「冗談はやめて現場の調査に戻れ」,「玩笑到此为止，赶快回去调查现场」,
黒い羽根を見せる。,我让她看到那根黑色的羽毛。,
「任せる」,「交给你了」,
「なるほど、つまり、噂の殺人犯は実在するわけか」,「原来如此。也就是说，传说中的犯人是实际存在的吗」,
「相変わらず、化物か、人間離れした人間かはわからないがな」,「还是一如既往地不知道，对方到底是怪物还是不合常理的人类啊」,
ここから情報を見つけ出していこう。,从这里追下去，应该能发现什么情报吧。,
「もうすぐ戻る」,「我过一会再回去」,
「さて、私も行く」,「接下来，我也要走了」,
「俺も戻る」,「我也回去了」,
「身内の聞き込みは明日までにこなしておく」,「我在明天之前会向身边的那个小鬼询问具体情况的」,
「ああ、あの子か」,「啊啊，那个孩子吗」,
「あの子は、その、恋人か何かか？」,「那个孩子，是那个，恋人之类的吗？」,
気まずそうに目を逸らされる。,她则似乎在意着什么般地移开了视线。,
「いや、なに、職業柄、気になっただけだ」,「不，没什么，这只是我的职业病，稍微有点在意而已」,
「助かる」,「帮大忙了」,
「治療費はカイムが身体で」,「治疗费就用凯伊姆的身体来付」,
さっきの現場の近くか。,是在刚才那个现场的附近吗。,
深々と頭を下げる。,缇娅深深地低下头去。,
「帰りで、リサと歩いてた」,「和莉莎一起，走在回来的路上」,
「小動物が黒い人影と戯れてたから、メスを投げた」,「看到这只小动物正在被黑色的人影调戏，就把手术刀扔过去了」,
医療用具が入った箱を視線で示す。,艾莉斯瞥了一眼装着医疗用具的箱子。,
「救出代はカイムが身体で」,「救人的代价是凯伊姆的身体」,
「顔でなくても、気づいたことは何でも教えてくれ」,「就算没看到脸也行，有什么注意到的事情全都告诉我」,
「どっちでもいい」,「不管哪个都无所谓」,
よもや化物ということはないだろう。,这样应该就可以认定对方不是怪物之类的东西了。,
「羽狩りがうろうろしてたけど？」,「那为什么羽狩会在那里转来转去？」,
「死体はバラバラだ」,「尸体已经四分五裂了」,
死にかけたのだから無理もない。,对于差点死去的她来说，这是理所当然的举动。,
「言ってなかったな」,「我还没跟你们说过吧」,
「仲がいいってのは妄想だが、その仕事だ」,「撇掉你那个关于我们很要好的妄想，其余的就是事实了」,
「噂でなら」,「如果是传言的话」,
二人が頷く。,两个人点了点头。,
「さあ？」,「谁知道呢？」,
両脚を失いわめく男。,失去双脚哭喊着的男人。,
その直前の見開かれた目。,眼睛还挣得大大地凝视着前方。,
「結局、制服か」,「结果，还是穿着制服吗」,
「おはよう、じゃない」,「不是该说早安的时候吧」,
「いや、服装については熟考した」,「不，关于服装我已经好好地想过了」,
「で？」,「然后呢？」,
「何だ、初めて告白する女じゃあるまいし」,「怎么了啊，你又不是什么准备初次告白的女生」,
「ああ……残念だが仕方ない」,「啊啊……虽然很遗憾但也没办法」,
「式典用の服はあるのだが、それ以外が心許ない」,「虽然有典礼用的服装，但是除此之外就没有其它的了」,
毎日の制服仕事。,每天穿着制服工作。,
その上、本人はこの生真面目さだ。,再加上，她本人这个相当认真的个性。,
「手持ちのもので何とかしようとしたが、恥ずかしながら」,「虽然用现有的衣服多少也能对付过去，但是那样会很不好意思」,
「……それもある」,「……也有那个因素在里面」,
重々しく頷いた。,菲奥奈重重地点头。,
「捜索用の服を貸してくれる女がいるか」,「你认为会有哪位女性借给我搜查用的衣服吗」,
「私にも似合う、牢獄で浮かない服はないかとな」,「有没有和我比较相称的，在牢狱中也不会很显眼的衣服」,
